repo_name,meta_status,exported,first_month,last_month,full_exposure_24,full_exposure_36,issues_new__status,issues_new__n24,issues_new__n36,issues_new__raw24,issues_new__raw36,issues_closed__status,issues_closed__n24,issues_closed__n36,issues_closed__raw24,issues_closed__raw36,issue_response_time__status,issue_response_time__n24,issue_response_time__n36,issue_response_time__raw24,issue_response_time__raw36,issue_resolution_duration__status,issue_resolution_duration__n24,issue_resolution_duration__n36,issue_resolution_duration__raw24,issue_resolution_duration__raw36,change_requests__status,change_requests__n24,change_requests__n36,change_requests__raw24,change_requests__raw36,change_requests_accepted__status,change_requests_accepted__n24,change_requests_accepted__n36,change_requests_accepted__raw24,change_requests_accepted__raw36,change_request_response_time__status,change_request_response_time__n24,change_request_response_time__n36,change_request_response_time__raw24,change_request_response_time__raw36,change_request_resolution_duration__status,change_request_resolution_duration__n24,change_request_resolution_duration__n36,change_request_resolution_duration__raw24,change_request_resolution_duration__raw36,contributors__status,contributors__n24,contributors__n36,contributors__raw24,contributors__raw36,code_change_lines_sum__status,code_change_lines_sum__n24,code_change_lines_sum__n36,code_change_lines_sum__raw24,code_change_lines_sum__raw36
007gzs/dingtalk-sdk,404,0,,,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0
007gzs/django-cool,404,0,,,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0
007gzs/meeting,404,0,,,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0
adnaan/adnaan-ui,404,0,,,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0
adnaan/blog,404,0,,,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0
adnaan/light-capture,404,0,,,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0
adnaan/nexus-account-manager,404,0,,,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0
aerphouse/ApolloERP,404,0,,,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0
agiros/agiros,404,0,,,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0
agiros/alphaplatform,404,0,,,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0
