repo_name,meta_status,exported,first_month,last_month,full_exposure_24,full_exposure_36,issues_new__status,issues_new__n24,issues_new__n36,issues_new__raw24,issues_new__raw36,issues_closed__status,issues_closed__n24,issues_closed__n36,issues_closed__raw24,issues_closed__raw36,issue_response_time__status,issue_response_time__n24,issue_response_time__n36,issue_response_time__raw24,issue_response_time__raw36,issue_resolution_duration__status,issue_resolution_duration__n24,issue_resolution_duration__n36,issue_resolution_duration__raw24,issue_resolution_duration__raw36,change_requests__status,change_requests__n24,change_requests__n36,change_requests__raw24,change_requests__raw36,change_requests_accepted__status,change_requests_accepted__n24,change_requests_accepted__n36,change_requests_accepted__raw24,change_requests_accepted__raw36,change_request_response_time__status,change_request_response_time__n24,change_request_response_time__n36,change_request_response_time__raw24,change_request_response_time__raw36,change_request_resolution_duration__status,change_request_resolution_duration__n24,change_request_resolution_duration__n36,change_request_resolution_duration__raw24,change_request_resolution_duration__raw36,contributors__status,contributors__n24,contributors__n36,contributors__raw24,contributors__raw36,code_change_lines_sum__status,code_change_lines_sum__n24,code_change_lines_sum__n36,code_change_lines_sum__raw24,code_change_lines_sum__raw36
01-ai/Yi,200,1,2023-11,2026-05,1,0,200,8,10,0,0,200,8,10,0,0,200,8,10,0,0,200,7,9,0,0,200,10,12,0,0,200,10,12,0,0,200,10,12,0,0,200,10,12,0,0,200,10,12,0,0,200,10,12,0,0
1Panel-dev/1Panel,200,1,2023-03,2026-07,1,0,200,24,34,0,0,200,24,34,0,0,200,24,34,0,0,200,24,34,0,0,200,24,34,0,0,200,24,34,0,0,200,24,34,0,0,200,21,31,0,0,200,24,34,0,0,200,24,34,0,0
1Panel-dev/MaxKB,200,1,2024-03,2026-07,0,0,200,22,22,0,0,200,22,22,0,0,200,22,22,0,0,200,22,22,0,0,200,22,22,0,0,200,22,22,0,0,200,22,22,0,0,200,20,20,0,0,200,22,22,0,0,200,22,22,0,0
33cn/chain33,200,1,2018-11,2026-04,1,1,200,4,9,0,0,200,1,3,0,0,200,4,9,0,0,200,0,2,0,0,200,8,20,0,0,200,4,12,0,0,200,6,15,0,0,200,3,14,0,0,200,4,12,0,0,200,6,18,0,0
619216696/amrConverterDemo,404,0,,,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0
648540858/wvp-GB28181-pro,200,1,2020-11,2026-05,1,1,200,24,36,0,0,200,24,36,0,0,200,24,36,0,0,200,24,36,0,0,200,22,34,0,0,200,20,31,0,0,200,22,34,0,0,200,21,33,0,0,200,20,31,0,0,200,21,33,0,0
6tail/tyme4ts,200,1,2025-01,2025-01,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,200,1,1,0,0,404,0,0,0,0
78/xiaozhi-esp32,200,1,2024-09,2026-05,0,0,200,15,15,0,0,200,14,14,0,0,200,15,15,0,0,200,15,15,0,0,200,14,14,0,0,200,14,14,0,0,200,14,14,0,0,200,12,12,0,0,200,14,14,0,0,200,14,14,0,0
86dbs/dbsyncer,404,0,,,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0
abel533/Mapper,200,1,2015-03,2026-02,1,1,200,15,25,0,0,200,10,15,0,0,200,15,24,0,0,200,8,14,0,0,200,11,17,0,0,200,4,6,0,0,200,11,16,0,0,200,5,9,0,0,200,4,6,0,0,200,8,15,0,0
aboutcode-org/scancode-toolkit,200,1,2015-07,2026-06,1,1,200,24,36,0,0,200,23,35,0,0,200,24,36,0,0,200,24,36,0,0,200,24,36,0,0,200,19,30,0,0,200,24,36,0,0,200,20,32,0,0,200,19,30,0,0,200,21,33,0,0
actboy168/lua-debug,200,1,2016-11,2026-03,1,1,200,14,26,0,0,200,8,17,0,0,200,14,26,0,0,200,8,16,0,0,200,8,16,0,0,200,5,12,0,0,200,8,16,0,0,200,7,15,0,0,200,5,12,0,0,200,8,14,0,0
activeadmin/activeadmin,200,1,2015-01,2026-07,1,1,200,20,32,0,0,200,18,29,0,0,200,18,30,0,0,200,18,30,0,0,200,24,36,0,0,200,24,33,0,0,200,24,36,0,0,200,22,34,0,0,200,24,33,0,0,200,23,34,0,0
activemerchant/active_merchant,200,1,2015-01,2026-02,1,1,200,10,17,0,0,200,22,26,0,0,200,8,13,0,0,200,9,16,0,0,200,21,33,0,0,200,20,32,0,0,200,21,33,0,0,200,20,32,0,0,200,20,32,0,0,200,22,34,0,0
activerecord-hackery/ransack,200,1,2015-01,2026-02,1,1,200,20,32,0,0,200,10,18,0,0,200,19,31,0,0,200,13,23,0,0,200,21,32,0,0,200,10,16,0,0,200,20,29,0,0,200,16,26,0,0,200,10,16,0,0,200,18,26,0,0
adam-p/markdown-here,200,1,2015-01,2026-05,1,1,200,19,26,0,0,200,12,12,0,0,200,16,23,0,0,200,10,12,0,0,200,6,7,0,0,200,5,5,0,0,200,6,7,0,0,200,3,4,0,0,200,5,5,0,0,200,7,9,0,0
adambard/learnxinyminutes-docs,200,1,2015-01,2026-06,1,1,200,23,35,0,0,200,21,30,0,0,200,23,35,0,0,200,21,32,0,0,200,24,36,0,0,200,23,35,0,0,200,24,36,0,0,200,20,32,0,0,200,23,35,0,0,200,24,36,0,0
adnaan-worker/adnify,404,0,,,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0
adnaan-worker/nexus-account-manager,404,0,,,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0
adobe/brackets,200,1,2015-01,2024-10,0,0,200,0,0,0,0,200,0,0,0,0,200,0,0,0,0,200,0,0,0,0,200,0,0,0,0,200,0,0,0,0,200,0,0,0,0,200,0,0,0,0,200,0,0,0,0,200,2,3,0,0
adriankumpf/teslamate,200,1,,,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0
adwhit/rust-nlopt,200,1,,,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0
AFNetworking/AFNetworking,200,1,2015-01,2023-01,0,0,200,0,1,0,0,200,0,0,0,0,200,0,1,0,0,200,0,0,0,0,200,0,1,0,0,200,0,1,0,0,200,0,1,0,0,200,0,1,0,0,200,0,1,0,0,200,0,1,0,0
aheckmann/gm,200,1,2015-01,2026-02,1,1,200,7,15,0,0,200,3,6,0,0,200,7,14,0,0,200,2,2,0,0,200,4,7,0,0,200,1,1,0,0,200,4,7,0,0,200,3,3,0,0,200,1,1,0,0,200,2,4,0,0
Ahoo-Wang/CosId,200,1,2021-07,2026-05,1,1,200,13,19,0,0,200,11,18,0,0,200,13,19,0,0,200,13,19,0,0,200,24,36,0,0,200,21,33,0,0,200,16,27,0,0,200,21,33,0,0,200,21,33,0,0,200,17,28,0,0
ahyiru/huxy-admin,404,0,,,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0
ahyiru/pack,404,0,,,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0
ahyiru/web-design,404,0,,,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0
airbnb/javascript,200,1,2015-01,2026-05,1,1,200,24,36,0,0,200,24,36,0,0,200,23,35,0,0,200,24,36,0,0,200,23,35,0,0,200,7,12,0,0,200,22,34,0,0,200,22,34,0,0,200,7,12,0,0,200,23,34,0,0
ajaxorg/ace,200,1,2015-01,2026-07,1,1,200,22,34,0,0,200,24,36,0,0,200,22,34,0,0,200,22,34,0,0,200,23,35,0,0,200,24,36,0,0,200,23,35,0,0,200,21,33,0,0,200,24,36,0,0,200,24,36,0,0
akka/akka,200,1,2015-01,2025-10,0,0,200,0,0,0,0,200,0,0,0,0,200,18,30,0,0,200,19,30,0,0,200,0,0,0,0,200,21,33,0,0,200,21,33,0,0,200,21,33,0,0,200,21,33,0,0,200,0,0,0,0
Alamofire/Alamofire,200,1,2015-01,2026-05,1,1,200,24,36,0,0,200,20,32,0,0,200,23,35,0,0,200,21,33,0,0,200,18,30,0,0,200,13,23,0,0,200,17,28,0,0,200,16,28,0,0,200,13,23,0,0,200,18,28,0,0
alan-turing-institute/the-turing-way,200,1,2022-08,2022-08,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,404,0,0,0,0,200,0,0,0,0,404,0,0,0,0
alerta/alerta,200,1,2015-01,2026-03,1,1,200,15,27,0,0,200,6,10,0,0,200,15,27,0,0,200,7,16,0,0,200,16,27,0,0,200,6,10,0,0,200,8,17,0,0,200,13,24,0,0,200,6,10,0,0,200,8,18,0,0
Alex-Lekov/AutoML_Alex,404,0,,,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0,SKIP_NOT_EXPORTED,0,0,0,0
alexreisner/geocoder,200,1,2015-01,2026-01,1,1,200,18,27,0,0,200,10,17,0,0,200,18,27,0,0,200,13,20,0,0,200,13,23,0,0,200,11,19,0,0,200,13,23,0,0,200,12,20,0,0,200,11,19,0,0,200,13,24,0,0
algorand/go-algorand,200,1,2019-06,2026-06,1,1,200,15,27,0,0,200,16,28,0,0,200,14,26,0,0,200,11,23,0,0,200,24,36,0,0,200,22,34,0,0,200,24,36,0,0,200,21,33,0,0,200,22,34,0,0,200,22,34,0,0
alibaba/BizCharts,200,1,2017-11,2025-05,0,0,200,8,16,0,0,200,2,6,0,0,200,8,16,0,0,200,1,3,0,0,200,0,1,0,0,200,0,0,0,0,200,0,1,0,0,200,0,0,0,0,200,0,0,0,0,200,0,1,0,0
alibaba/druid,200,1,2015-01,2026-06,1,1,200,24,36,0,0,200,22,34,0,0,200,24,36,0,0,200,17,29,0,0,200,24,36,0,0,200,24,36,0,0,200,22,34,0,0,200,22,34,0,0,200,24,36,0,0,200,24,36,0,0
