owner,repo,repo_name,source_path,source_blob_sha,source_repo_head_sha
"01-ai","Yi","01-ai/Yi","single-repositories/github/01-ai/Yi.yml","f7d333239c21fd0bebde4a6368c1d6a375bda8d2","deba099d78fee27272fc1fcb2fa98afaeff30f0d"
"1Panel-dev","1Panel","1Panel-dev/1Panel","single-repositories/github/1Panel-dev/1Panel.yml","59f665341dd1714915232fe21ef57675e1cb1477","deba099d78fee27272fc1fcb2fa98afaeff30f0d"
"1Panel-dev","MaxKB","1Panel-dev/MaxKB","single-repositories/github/1Panel-dev/MaxKB.yml","8c3ce7385840956aac9bb38d8c073cf4fd85bb02","deba099d78fee27272fc1fcb2fa98afaeff30f0d"
"33cn","chain33","33cn/chain33","single-repositories/github/33cn/chain33.yml","171997757fa876a71e3ec03765779152358b967a","deba099d78fee27272fc1fcb2fa98afaeff30f0d"
"619216696","amrConverterDemo","619216696/amrConverterDemo","single-repositories/github/619216696/amrConverterDemo.yml","0cdbecce430033dab2122abc88700782e67170ba","deba099d78fee27272fc1fcb2fa98afaeff30f0d"
"648540858","wvp-GB28181-pro","648540858/wvp-GB28181-pro","single-repositories/github/648540858/wvp-GB28181-pro.yml","45aa77bb47709e74b3bb5b89a52fa857fcfd1bd1","deba099d78fee27272fc1fcb2fa98afaeff30f0d"
"6tail","tyme4ts","6tail/tyme4ts","single-repositories/github/6tail/tyme4ts.yml","c396b018c767b475fb7a3c0323ff4fb1a453fda4","deba099d78fee27272fc1fcb2fa98afaeff30f0d"
"78","xiaozhi-esp32","78/xiaozhi-esp32","single-repositories/github/78/xiaozhi-esp32.yml","9e7a7c1d90c81892a27cc51ec46148dd7f6def38","deba099d78fee27272fc1fcb2fa98afaeff30f0d"
"86dbs","dbsyncer","86dbs/dbsyncer","single-repositories/github/86dbs/dbsyncer.yml","b46de163b557ddd2de9f374e73e3ba3ac986e680","deba099d78fee27272fc1fcb2fa98afaeff30f0d"
"abel533","Mapper","abel533/Mapper","single-repositories/github/abel533/Mapper.yml","6f38976596a71c962ba8322845e0fcdc2338dc05","deba099d78fee27272fc1fcb2fa98afaeff30f0d"
"aboutcode-org","scancode-toolkit","aboutcode-org/scancode-toolkit","single-repositories/github/aboutcode-org/scancode-toolkit.yml","d847b4c316dc51cb89e991c6213a9c60103f6624","deba099d78fee27272fc1fcb2fa98afaeff30f0d"
"actboy168","lua-debug","actboy168/lua-debug","single-repositories/github/actboy168/lua-debug.yml","a285ad75c43fe0241cd8dea56a4f1c054e0dad7d","deba099d78fee27272fc1fcb2fa98afaeff30f0d"
"activeadmin","activeadmin","activeadmin/activeadmin","single-repositories/github/activeadmin/activeadmin.yml","df7e5a5de44c8c3915605ed0dfa7b24a5553b2ae","deba099d78fee27272fc1fcb2fa98afaeff30f0d"
"activemerchant","active_merchant","activemerchant/active_merchant","single-repositories/github/activemerchant/active_merchant.yml","40c10f4f2cfd684be015d47b5799f8195b585213","deba099d78fee27272fc1fcb2fa98afaeff30f0d"
"activerecord-hackery","ransack","activerecord-hackery/ransack","single-repositories/github/activerecord-hackery/ransack.yml","99a189e33ce4490946a51c103654567de022a193","deba099d78fee27272fc1fcb2fa98afaeff30f0d"
