repo_name,github_status,curation_state,curation_reason,canonical_full_name,language,fork,mirror_url,is_template,archived,disabled,issue_resolution_status,issue_resolution_has_q2,issue_resolution_q2_n24,issue_age_status,issue_age_has_q2,issue_age_q2_n24,issue_age_has_levels,issue_age_levels_n24,issues_new_status,contributors_status,code_change_lines_sum_status,modelA_usable_months,modelB_usable_months_conservative,modelC_usable_months,modelD_usable_months
01-ai/Yi,200,AUTO_INCLUDE,PASS_PROSPECTIVE_METADATA_RULES,01-ai/Yi,Jupyter Notebook,0,,0,0,0,200,1,7,200,1,24,1,24,200,200,200,7,7,7,24
1Panel-dev/1Panel,200,AUTO_INCLUDE,PASS_PROSPECTIVE_METADATA_RULES,1Panel-dev/1Panel,Go,0,,0,0,0,200,1,24,200,1,24,1,24,200,200,200,24,24,24,24
33cn/chain33,200,AUTO_INCLUDE,PASS_PROSPECTIVE_METADATA_RULES,33cn/chain33,Go,0,,0,0,0,200,1,0,200,1,24,1,24,200,200,200,0,0,0,24
648540858/wvp-GB28181-pro,200,AUTO_INCLUDE,PASS_PROSPECTIVE_METADATA_RULES,648540858/wvp-GB28181-pro,Java,0,,0,0,0,200,1,24,200,1,24,1,24,200,200,200,24,24,24,24
abel533/Mapper,200,AUTO_INCLUDE,PASS_PROSPECTIVE_METADATA_RULES,abel533/Mapper,Java,0,,0,0,0,200,1,8,200,1,24,1,24,200,200,200,8,8,8,24
aboutcode-org/scancode-toolkit,200,AUTO_INCLUDE,PASS_PROSPECTIVE_METADATA_RULES,aboutcode-org/scancode-toolkit,Python,0,,0,0,0,200,1,24,200,1,24,1,24,200,200,200,24,24,24,24
actboy168/lua-debug,200,AUTO_INCLUDE,PASS_PROSPECTIVE_METADATA_RULES,actboy168/lua-debug,Lua,0,,0,0,0,200,1,8,200,1,24,1,24,200,200,200,8,8,8,24
activeadmin/activeadmin,200,AUTO_INCLUDE,PASS_PROSPECTIVE_METADATA_RULES,activeadmin/activeadmin,Ruby,0,,0,0,0,200,1,18,200,1,24,1,24,200,200,200,18,18,18,24
activemerchant/active_merchant,200,AUTO_INCLUDE,PASS_PROSPECTIVE_METADATA_RULES,activemerchant/active_merchant,Ruby,0,,0,0,0,200,1,9,200,1,24,1,24,200,200,200,9,9,9,24
activerecord-hackery/ransack,200,AUTO_INCLUDE,PASS_PROSPECTIVE_METADATA_RULES,activerecord-hackery/ransack,Ruby,0,,0,0,0,200,1,13,200,1,24,1,24,200,200,200,13,13,13,24
adam-p/markdown-here,200,AUTO_INCLUDE,PASS_PROSPECTIVE_METADATA_RULES,adam-p/markdown-here,JavaScript,0,,0,0,0,200,1,10,200,1,24,1,24,200,200,200,10,10,10,24
adambard/learnxinyminutes-docs,200,MANUAL_REVIEW,NONSOFTWARE_NAME_SIGNAL;NONSOFTWARE_TEXT_SIGNAL,adambard/learnxinyminutes-docs,Markdown,0,,0,0,0,200,1,21,200,1,24,1,24,200,200,200,21,21,21,24
aheckmann/gm,200,AUTO_INCLUDE,PASS_PROSPECTIVE_METADATA_RULES,aheckmann/gm,JavaScript,0,,0,0,0,200,1,2,200,1,24,1,24,200,200,200,2,2,2,24
Ahoo-Wang/CosId,200,AUTO_INCLUDE,PASS_PROSPECTIVE_METADATA_RULES,Ahoo-Wang/CosId,Java,0,,0,0,0,200,1,13,200,1,24,1,24,200,200,200,13,13,13,24
airbnb/javascript,200,AUTO_INCLUDE,PASS_PROSPECTIVE_METADATA_RULES,airbnb/javascript,JavaScript,0,,0,0,0,200,1,24,200,1,24,1,24,200,200,200,24,24,24,24
ajaxorg/ace,200,AUTO_INCLUDE,PASS_PROSPECTIVE_METADATA_RULES,ajaxorg/ace,JavaScript,0,,0,0,0,200,1,22,200,1,24,1,24,200,200,200,22,22,22,24
Alamofire/Alamofire,200,AUTO_INCLUDE,PASS_PROSPECTIVE_METADATA_RULES,Alamofire/Alamofire,Swift,0,,0,0,0,200,1,21,200,1,24,1,24,200,200,200,21,21,21,24
alerta/alerta,200,AUTO_INCLUDE,PASS_PROSPECTIVE_METADATA_RULES,alerta/alerta,Python,0,,0,0,0,200,1,7,200,1,24,1,24,200,200,200,7,7,7,24
alexreisner/geocoder,200,AUTO_INCLUDE,PASS_PROSPECTIVE_METADATA_RULES,alexreisner/geocoder,Ruby,0,,0,0,0,200,1,13,200,1,24,1,24,200,200,200,13,13,13,24
algorand/go-algorand,200,AUTO_INCLUDE,PASS_PROSPECTIVE_METADATA_RULES,algorand/go-algorand,Go,0,,0,0,0,200,1,11,200,1,24,1,24,200,200,200,11,11,11,24
alibaba/druid,200,AUTO_INCLUDE,PASS_PROSPECTIVE_METADATA_RULES,alibaba/druid,Java,0,,0,0,0,200,1,17,200,1,24,1,24,200,200,200,17,17,17,24
alibaba/higress,200,MANUAL_REVIEW,CANONICAL_REDIRECT_OR_TRANSFER,higress-group/higress,Go,0,,0,0,0,200,1,24,200,1,24,1,24,200,200,200,24,24,24,24
