model,term,b,se,t,p
A,ln_resolution,-0.0083082555626973,0.0022503957104560387,-3.6919087270272337,0.00022349135000387932
A,ln_issues_new,-0.0949591002825939,0.012862802041429729,-7.382458345914106,1.6497914145929826e-13
A,ln_contributors,-0.010847341419730074,0.007888432458090589,-1.3750946689801151,0.16912588528945083
B,ln_resolution,0.012560843583592813,0.005511269798419013,2.279119702540433,0.0226761291172477
B,ln_issues_new,0.1214140204400861,0.06507933170557946,1.8656310269036904,0.06211557097107012
B,ln_contributors,-0.0315551533142793,0.024961394987034966,-1.264158246390843,0.2061959586820339
C,ln_issues_new,-0.24740538858242775,0.039007021619164965,-6.342585983567438,2.334432647188578e-10
C,ln_contributors,-0.264937360174734,0.03410452845019253,-7.7683924163226,8.43769498715119e-15
D,ln_issues_new,-0.0760118688130386,0.008493752674046172,-8.949150243720107,0.0
D,ln_contributors,-0.019633071489942353,0.00691927302080968,-2.837447146672199,0.0045521717650347515
